,vocals,accompaniment,drums,bass,other,MIX
Leaf - Come Around (82),68,331,21,167,88,385
Leaf - Come Around (83),44,408,21,194,131,449
Leaf - Come Around (84),20,382,16,278,144,394
Leaf - Come Around (85),8,157,0,151,19,171
Leaf - Come Around (86),0,19,0,19,0,19
Leaf - Come Around (87),0,0,0,0,0,0
Leaf - Come Around (88),0,0,0,0,0,0
Leaf - Summerghost (0),0,0,0,0,0,0
Leaf - Summerghost (1),0,0,0,0,0,0
Leaf - Summerghost (2),0,0,0,0,0,0
Leaf - Summerghost (3),0,20,0,0,20,20
Leaf - Summerghost (4),0,91,0,0,91,91
Leaf - Summerghost (5),0,238,61,81,94,238
Leaf - Summerghost (6),199,537,181,260,92,747
Leaf - Summerghost (7),3,544,187,280,99,547
Leaf - Summerghost (8),70,438,112,248,99,500
Leaf - Summerghost (9),296,457,119,263,95,748
Leaf - Summerghost (10),332,603,155,352,103,920
Leaf - Summerghost (11),73,492,104,266,97,566
Leaf - Summerghost (12),0,466,158,228,86,466
Leaf - Summerghost (13),65,438,101,269,78,506
Leaf - Summerghost (14),191,476,159,251,79,673
Leaf - Summerghost (15),120,437,106,267,76,552
Leaf - Summerghost (16),87,501,155,284,77,581
Leaf - Summerghost (17),485,473,111,281,81,959
Leaf - Summerghost (18),467,498,162,257,84,974
Leaf - Summerghost (19),58,516,137,272,83,575
Leaf - Summerghost (20),0,540,147,293,78,540
Leaf - Summerghost (21),78,506,161,342,13,581
Leaf - Summerghost (22),315,539,193,340,12,852
Leaf - Summerghost (23),289,475,159,300,10,767
Leaf - Summerghost (24),16,600,248,324,25,616
Leaf - Summerghost (25),151,560,168,356,11,712
Leaf - Summerghost (26),474,574,183,374,9,1041
Leaf - Summerghost (27),256,562,217,323,15,819
Leaf - Summerghost (28),10,467,168,248,55,477
Leaf - Summerghost (29),405,487,149,270,67,872
Leaf - Summerghost (30),183,500,142,275,79,677
Leaf - Summerghost (31),264,549,157,292,97,813
Leaf - Summerghost (32),633,511,137,287,73,1143
Leaf - Summerghost (33),381,553,159,321,85,934
Leaf - Summerghost (34),196,471,107,277,84,665
Leaf - Summerghost (35),0,479,153,296,62,479
Leaf - Summerghost (36),0,753,275,401,81,753
Leaf - Summerghost (37),165,744,267,355,87,914
Leaf - Summerghost (38),270,501,148,288,71,767
Leaf - Summerghost (39),0,538,194,274,65,538
Leaf - Summerghost (40),0,750,316,326,94,750
Leaf - Summerghost (41),215,682,200,371,87,899
Leaf - Summerghost (42),216,498,112,298,78,713
Leaf - Summerghost (43),0,100,1,83,20,100
Leaf - Summerghost (44),0,20,19,0,1,20
Leaf - Summerghost (45),0,418,255,167,3,418
Leaf - Summerghost (46),0,592,214,382,20,592
Leaf - Summerghost (47),20,668,271,354,32,688
Leaf - Summerghost (48),39,672,255,394,13,710
Leaf - Summerghost (49),60,661,252,393,9,723
Leaf - Summerghost (50),22,676,238,390,21,697
Leaf - Summerghost (51),82,596,207,354,35,681
Leaf - Summerghost (52),48,704,220,418,45,755
Leaf - Summerghost (53),202,649,233,385,25,861
Leaf - Summerghost (54),72,652,232,345,62,728
Leaf - Summerghost (55),207,696,289,375,35,902
Leaf - Summerghost (56),219,732,257,439,39,958
Leaf - Summerghost (57),112,688,252,377,41,803
Leaf - Summerghost (58),111,695,244,378,62,803
Leaf - Summerghost (59),178,722,263,413,55,892
Leaf - Summerghost (60),350,762,286,397,58,1110
Leaf - Summerghost (61),527,638,198,395,54,1168
Leaf - Summerghost (62),239,734,304,357,72,971
Leaf - Summerghost (63),205,639,199,382,59,845
Leaf - Summerghost (64),197,647,211,409,53,841
Leaf - Summerghost (65),73,670,220,369,59,744
Leaf - Summerghost (66),158,643,223,364,68,797
Leaf - Summerghost (67),165,738,260,415,53,915
Leaf - Summerghost (68),379,770,323,411,47,1142
Leaf - Summerghost (69),186,583,166,374,56,790
Leaf - Summerghost (70),230,676,255,366,54,905
Leaf - Summerghost (71),275,715,229,421,58,991
Leaf - Summerghost (72),525,596,197,381,43,1112
Leaf - Summerghost (73),231,595,202,333,58,824
Leaf - Summerghost (74),7,350,51,230,71,357
Leaf - Summerghost (75),0,35,0,29,6,35
Leaf - Summerghost (76),0,2,0,2,0,2
Leaf - Summerghost (77),0,0,0,0,0,0
Leaf - Wicked (0),0,174,114,44,9,174
Leaf - Wicked (1),0,370,200,157,19,370
Leaf - Wicked (2),0,312,169,149,20,312
Leaf - Wicked (3),0,375,231,150,18,375
Leaf - Wicked (4),0,354,198,161,18,354
Leaf - Wicked (5),26,399,224,139,18,424
Leaf - Wicked (6),85,352,192,135,18,438
Leaf - Wicked (7),0,412,211,162,21,412
Leaf - Wicked (8),49,376,194,160,17,425
Leaf - Wicked (9),60,395,202,163,19,456
Leaf - Wicked (10),0,372,221,142,18,372
Leaf - Wicked (11),36,334,158,151,21,370
Leaf - Wicked (12),14,262,99,139,12,275
Leaf - Wicked (13),0,352,170,158,16,352
Leaf - Wicked (14),0,360,228,131,18,360
Leaf - Wicked (15),169,368,208,138,18,539
Leaf - Wicked (16),35,409,200,158,36,443
Leaf - Wicked (17),66,402,209,157,40,468
Leaf - Wicked (18),158,386,220,138,19,544
Leaf - Wicked (19),3,368,175,140,52,371
Leaf - Wicked (20),2,316,167,137,26,319
Leaf - Wicked (21),44,402,192,171,23,446
Leaf - Wicked (22),174,483,240,171,64,658
Leaf - Wicked (23),175,490,255,169,68,665
Leaf - Wicked (24),119,526,263,178,73,642
Leaf - Wicked (25),90,437,190,166,68,527
Leaf - Wicked (26),135,405,199,166,64,537
Leaf - Wicked (27),0,323,182,82,62,323
Leaf - Wicked (28),0,391,196,161,54,391
Leaf - Wicked (29),73,448,206,170,70,515
Leaf - Wicked (30),105,402,231,160,22,505
Leaf - Wicked (31),0,412,217,137,58,412
Leaf - Wicked (32),145,418,209,161,55,562
Leaf - Wicked (33),69,484,243,174,39,552
Leaf - Wicked (34),0,398,192,158,46,398
Leaf - Wicked (35),51,329,169,134,20,380
Leaf - Wicked (36),195,477,248,172,57,677
Leaf - Wicked (37),161,438,157,193,67,599
Leaf - Wicked (38),163,477,231,176,61,643
Leaf - Wicked (39),196,483,238,173,65,681
Leaf - Wicked (40),172,466,225,175,70,636
Leaf - Wicked (41),160,421,197,181,71,580
Leaf - Wicked (42),176,503,264,174,65,674
Leaf - Wicked (43),204,514,283,163,76,718
Leaf - Wicked (44),216,468,216,186,69,686
Leaf - Wicked (45),259,467,208,179,69,726
Leaf - Wicked (46),224,454,176,191,63,681
Leaf - Wicked (47),0,471,258,165,49,471
Leaf - Wicked (48),0,544,299,181,44,544
Leaf - Wicked (49),81,505,273,154,61,589
Leaf - Wicked (50),1,596,347,190,62,597
Leaf - Wicked (51),260,612,324,159,96,873
Leaf - Wicked (52),251,497,241,182,73,748
Leaf - Wicked (53),167,531,254,186,89,699
Leaf - Wicked (54),143,650,377,186,87,796
Leaf - Wicked (55),386,543,285,175,87,931
Leaf - Wicked (56),42,699,386,205,104,743
Leaf - Wicked (57),106,712,417,196,91,819
Leaf - Wicked (58),133,650,359,184,80,776
Leaf - Wicked (59),155,792,481,180,93,944
Leaf - Wicked (60),9,707,401,191,86,717
Leaf - Wicked (61),426,584,262,232,67,835
Leaf - Wicked (62),41,51,0,49,1,73
Leaf - Wicked (63),0,0,0,0,0,0
Lushlife - Toynbee Suite (0),0,70,0,0,70,70
Lushlife - Toynbee Suite (1),0,29,0,0,29,29
Lushlife - Toynbee Suite (2),0,32,0,0,32,32
Lushlife - Toynbee Suite (3),0,22,0,0,22,22
Lushlife - Toynbee Suite (4),0,53,0,0,53,53
Lushlife - Toynbee Suite (5),0,68,0,0,68,68
Lushlife - Toynbee Suite (6),0,28,0,0,28,28
Lushlife - Toynbee Suite (7),0,24,0,0,24,24
Lushlife - Toynbee Suite (8),0,56,0,0,56,56
Lushlife - Toynbee Suite (9),0,75,0,0,75,75
Lushlife - Toynbee Suite (10),0,61,0,0,61,61
Lushlife - Toynbee Suite (11),0,45,0,0,45,45
Lushlife - Toynbee Suite (12),0,26,0,0,26,26
Lushlife - Toynbee Suite (13),0,81,0,0,81,81
Lushlife - Toynbee Suite (14),0,77,0,0,77,77
Lushlife - Toynbee Suite (15),0,51,0,0,51,51
Lushlife - Toynbee Suite (16),20,1720,18,1678,26,1737
Lushlife - Toynbee Suite (17),64,3559,54,3437,66,3618
Lushlife - Toynbee Suite (18),69,2490,38,2371,98,2568
Lushlife - Toynbee Suite (19),59,2150,63,2009,71,2205
Lushlife - Toynbee Suite (20),77,1969,42,1923,16,2044
Lushlife - Toynbee Suite (21),72,4291,53,4173,67,4357
Lushlife - Toynbee Suite (22),65,2132,38,2040,64,2198
Lushlife - Toynbee Suite (23),62,2238,62,2103,74,2294
Lushlife - Toynbee Suite (24),67,1830,39,1757,33,1892
Lushlife - Toynbee Suite (25),58,3783,0,3722,60,3832
Lushlife - Toynbee Suite (26),44,1726,0,1693,35,1776
Lushlife - Toynbee Suite (27),67,2084,0,2020,59,2142
Lushlife - Toynbee Suite (28),80,1198,0,1159,34,1272
Lushlife - Toynbee Suite (29),42,3973,0,3912,68,4011
Lushlife - Toynbee Suite (30),83,1687,0,1650,41,1762
Lushlife - Toynbee Suite (31),79,2202,0,2167,37,2278
Lushlife - Toynbee Suite (32),65,1330,0,1291,40,1394
Lushlife - Toynbee Suite (33),88,3965,40,3857,66,4055
Lushlife - Toynbee Suite (34),80,2027,49,1897,76,2107
Lushlife - Toynbee Suite (35),87,2629,36,2576,42,2713
Lushlife - Toynbee Suite (36),70,1710,50,1579,62,1780
Lushlife - Toynbee Suite (37),82,329,47,220,61,412
Lushlife - Toynbee Suite (38),77,157,55,0,104,235
Lushlife - Toynbee Suite (39),76,95,38,0,57,172
Lushlife - Toynbee Suite (40),57,132,63,0,69,189
Lushlife - Toynbee Suite (41),31,35,30,0,5,67
Lushlife - Toynbee Suite (42),0,3,0,0,3,3
Lushlife - Toynbee Suite (43),0,2,0,0,2,2
Lushlife - Toynbee Suite (44),0,2,0,0,2,2
Lushlife - Toynbee Suite (45),0,3,0,0,3,3
Lushlife - Toynbee Suite (46),0,3,0,0,3,3
Lushlife - Toynbee Suite (47),0,4,0,0,4,4
Lushlife - Toynbee Suite (48),0,802,0,801,1,802
Lushlife - Toynbee Suite (49),0,1299,0,1299,0,1299
Lushlife - Toynbee Suite (50),0,1153,0,1153,0,1153
Lushlife - Toynbee Suite (51),0,1480,0,1473,8,1480
Lushlife - Toynbee Suite (52),0,1261,0,1254,7,1261
Lushlife - Toynbee Suite (53),0,1192,14,1168,9,1192
Lushlife - Toynbee Suite (54),0,1579,56,1512,10,1579
Lushlife - Toynbee Suite (55),0,1290,58,1221,8,1290
Lushlife - Toynbee Suite (56),0,1471,65,1394,9,1471
Lushlife - Toynbee Suite (57),0,1493,75,1403,10,1493
Lushlife - Toynbee Suite (58),0,1207,72,1130,7,1207
Lushlife - Toynbee Suite (59),128,1476,39,1319,126,1611
Lushlife - Toynbee Suite (60),284,1695,34,1519,148,1967
Lushlife - Toynbee Suite (61),289,1451,13,1318,111,1730
Lushlife - Toynbee Suite (62),162,1897,26,1729,159,2055
Lushlife - Toynbee Suite (63),191,1557,35,1357,159,1733
Lushlife - Toynbee Suite (64),216,1543,26,1434,93,1736
Lushlife - Toynbee Suite (65),170,1785,14,1630,148,1956
Lushlife - Toynbee Suite (66),207,1377,36,1215,139,1576
Lushlife - Toynbee Suite (67),235,1769,48,1609,135,1996
Lushlife - Toynbee Suite (68),220,1710,48,1556,132,1931
Lushlife - Toynbee Suite (69),204,1394,38,1272,79,1601
Lushlife - Toynbee Suite (70),80,1859,103,1671,79,1928
Lushlife - Toynbee Suite (71),0,1595,102,1397,89,1595
Lushlife - Toynbee Suite (72),0,1620,105,1449,54,1620
Lushlife - Toynbee Suite (73),0,1795,102,1622,67,1795
Lushlife - Toynbee Suite (74),0,1472,108,1264,103,1472
Lushlife - Toynbee Suite (75),24,2369,93,2147,155,2394
Lushlife - Toynbee Suite (76),40,2470,80,2105,251,2508
Lushlife - Toynbee Suite (77),42,1955,80,1757,139,1993
Lushlife - Toynbee Suite (78),37,2591,101,2224,240,2627
Lushlife - Toynbee Suite (79),38,2154,79,1834,241,2191
Lushlife - Toynbee Suite (80),33,1903,93,1641,168,1934
Lushlife - Toynbee Suite (81),37,2648,97,2298,256,2687
Lushlife - Toynbee Suite (82),38,2072,77,1681,240,2111
Lushlife - Toynbee Suite (83),35,2316,90,2061,196,2354
Lushlife - Toynbee Suite (84),33,2743,100,2365,258,2777
Lushlife - Toynbee Suite (85),43,1942,77,1667,194,1988
Lushlife - Toynbee Suite (86),45,882,146,720,52,927
Lushlife - Toynbee Suite (87),59,182,154,22,5,241
Lushlife - Toynbee Suite (88),64,145,144,0,1,208
Lushlife - Toynbee Suite (89),65,575,261,319,14,643
Lushlife - Toynbee Suite (90),41,1844,132,1669,24,1886
Lushlife - Toynbee Suite (91),26,2141,145,1991,24,2169
Lushlife - Toynbee Suite (92),54,1935,132,1806,19,1989
Lushlife - Toynbee Suite (93),43,2002,167,1834,17,2049
Lushlife - Toynbee Suite (94),23,1967,122,1841,22,1992
Lushlife - Toynbee Suite (95),41,1817,152,1673,19,1855
Lushlife - Toynbee Suite (96),58,2790,230,2679,14,2848
Lushlife - Toynbee Suite (97),34,845,170,651,25,881
Lushlife - Toynbee Suite (98),40,978,157,761,29,1016
Lushlife - Toynbee Suite (99),44,690,128,569,28,736
Lushlife - Toynbee Suite (100),49,956,146,792,30,1004
Lushlife - Toynbee Suite (101),45,593,129,455,26,640
Lushlife - Toynbee Suite (102),38,948,145,765,30,986
Lushlife - Toynbee Suite (103),40,2135,133,2091,24,2173
Lushlife - Toynbee Suite (104),84,1731,171,1557,32,1816
Lushlife - Toynbee Suite (105),56,1957,126,1789,55,2008
Lushlife - Toynbee Suite (106),86,2193,145,2014,52,2280
Lushlife - Toynbee Suite (107),76,1829,148,1635,60,1909
Lushlife - Toynbee Suite (108),80,2041,126,1879,48,2121
Lushlife - Toynbee Suite (109),63,2009,157,1800,67,2077
Lushlife - Toynbee Suite (110),79,1871,138,1728,49,1960
Lushlife - Toynbee Suite (111),53,2699,263,2522,48,2756
Lushlife - Toynbee Suite (112),0,1873,135,1676,48,1873
Lushlife - Toynbee Suite (113),0,2169,147,1999,42,2169
Lushlife - Toynbee Suite (114),0,1959,129,1819,35,1959
Lushlife - Toynbee Suite (115),0,2023,165,1852,21,2023
Lushlife - Toynbee Suite (116),0,1947,126,1822,18,1947
Lushlife - Toynbee Suite (117),0,1814,138,1690,14,1814
Lushlife - Toynbee Suite (118),0,2827,242,2682,26,2827
Lushlife - Toynbee Suite (119),39,877,169,689,28,919
Lushlife - Toynbee Suite (120),47,924,153,721,29,973
Lushlife - Toynbee Suite (121),33,760,135,622,28,793
Lushlife - Toynbee Suite (122),31,947,137,790,30,979
Lushlife - Toynbee Suite (123),47,598,137,454,25,646
Lushlife - Toynbee Suite (124),49,946,146,762,30,996
Lushlife - Toynbee Suite (125),41,2099,88,2020,25,2138
Lushlife - Toynbee Suite (126),81,1351,86,1223,51,1421
Lushlife - Toynbee Suite (127),92,1972,128,1771,87,2063
Lushlife - Toynbee Suite (128),89,2279,144,2070,84,2370
Lushlife - Toynbee Suite (129),87,1760,138,1553,82,1851
Lushlife - Toynbee Suite (130),11,203,103,86,13,213
Lushlife - Toynbee Suite (131),0,116,112,0,5,116
Lushlife - Toynbee Suite (132),0,81,78,0,4,81
Lushlife - Toynbee Suite (133),0,4,0,0,4,4
Lushlife - Toynbee Suite (134),0,4,0,0,4,4
Lushlife - Toynbee Suite (135),0,3,0,0,3,3
Lushlife - Toynbee Suite (136),0,5,0,0,5,5
Lushlife - Toynbee Suite (137),0,3,0,0,3,3
Lushlife - Toynbee Suite (138),0,4,0,0,4,4
Lushlife - Toynbee Suite (139),0,4,0,0,4,4
Lushlife - Toynbee Suite (140),0,3,0,0,3,3
Lushlife - Toynbee Suite (141),0,3,0,0,3,3
Lushlife - Toynbee Suite (142),0,4,0,0,4,4
Lushlife - Toynbee Suite (143),0,4,0,0,4,4
Lushlife - Toynbee Suite (144),0,1,0,0,1,1
Lushlife - Toynbee Suite (145),0,0,0,0,0,0
Lushlife - Toynbee Suite (146),0,4,0,0,4,4
Lushlife - Toynbee Suite (147),0,8,0,0,8,8
Lushlife - Toynbee Suite (148),0,8,0,0,8,8
Lushlife - Toynbee Suite (149),0,9,0,0,9,9
Lushlife - Toynbee Suite (150),0,29,0,0,29,29
Lushlife - Toynbee Suite (151),0,71,0,0,71,71
Lushlife - Toynbee Suite (152),0,103,0,0,103,103
Lushlife - Toynbee Suite (153),0,92,0,0,92,92
Lushlife - Toynbee Suite (154),0,37,0,0,37,37
Lushlife - Toynbee Suite (155),0,96,0,0,96,96
Lushlife - Toynbee Suite (156),0,128,0,0,128,128
Lushlife - Toynbee Suite (157),0,49,0,0,49,49
Lushlife - Toynbee Suite (158),0,63,0,0,63,63
Lushlife - Toynbee Suite (159),0,97,0,0,97,97
Lushlife - Toynbee Suite (160),0,57,0,0,57,57
Lushlife - Toynbee Suite (161),0,91,0,0,91,91
Lushlife - Toynbee Suite (162),1,118,0,0,118,118
Lushlife - Toynbee Suite (163),6,61,0,0,61,66
Lushlife - Toynbee Suite (164),5,14,0,0,14,19
Lushlife - Toynbee Suite (165),6,12,0,0,12,18
Lushlife - Toynbee Suite (166),5,13,0,0,13,19
Lushlife - Toynbee Suite (167),6,13,0,0,13,19
Lushlife - Toynbee Suite (168),6,10,0,0,10,15
Lushlife - Toynbee Suite (169),6,10,0,0,10,16
Lushlife - Toynbee Suite (170),7,10,0,0,10,17
Lushlife - Toynbee Suite (171),8,9,0,0,9,17
Lushlife - Toynbee Suite (172),11,9,0,0,9,19
Lushlife - Toynbee Suite (173),11,11,0,0,11,23
Lushlife - Toynbee Suite (174),10,10,0,0,10,20
Lushlife - Toynbee Suite (175),11,12,0,0,12,24
Lushlife - Toynbee Suite (176),15,15,0,0,15,30
Lushlife - Toynbee Suite (177),15,11,0,0,11,26
Lushlife - Toynbee Suite (178),4,1,0,0,1,6
Lushlife - Toynbee Suite (179),1,5,0,0,5,6
Lushlife - Toynbee Suite (180),0,110,0,0,110,110
Lushlife - Toynbee Suite (181),0,136,0,0,136,136
Lushlife - Toynbee Suite (182),0,119,0,0,119,120
Lushlife - Toynbee Suite (183),0,41,0,0,41,41
Lushlife - Toynbee Suite (184),1,148,0,0,148,147
Lushlife - Toynbee Suite (185),1,158,0,0,158,159
Lushlife - Toynbee Suite (186),1,71,0,0,71,72
Lushlife - Toynbee Suite (187),2,21,0,0,21,23
Lushlife - Toynbee Suite (188),3,104,0,0,104,106
Lushlife - Toynbee Suite (189),3,177,0,0,177,178
Lushlife - Toynbee Suite (190),3,93,0,0,93,96
Lushlife - Toynbee Suite (191),2,135,0,0,135,137
Lushlife - Toynbee Suite (192),2,254,0,0,254,257
Lushlife - Toynbee Suite (193),3,200,0,0,200,203
Lushlife - Toynbee Suite (194),2,81,0,0,81,83
Lushlife - Toynbee Suite (195),2,16,0,0,16,17
Lushlife - Toynbee Suite (196),0,89,0,0,89,89
Lushlife - Toynbee Suite (197),0,85,0,0,85,85
Lushlife - Toynbee Suite (198),0,96,0,0,96,96
Lushlife - Toynbee Suite (199),0,34,0,0,34,34
Lushlife - Toynbee Suite (200),0,41,0,0,41,41
Lushlife - Toynbee Suite (201),1,102,0,0,102,104
Lushlife - Toynbee Suite (202),2,107,0,0,107,109
Lushlife - Toynbee Suite (203),1,126,0,0,126,127
Lushlife - Toynbee Suite (204),3,156,0,0,156,160
Lushlife - Toynbee Suite (205),1,93,0,0,93,94
Lushlife - Toynbee Suite (206),3,104,0,0,104,107
Lushlife - Toynbee Suite (207),0,116,0,0,116,116
Lushlife - Toynbee Suite (208),0,50,0,0,50,50
Lushlife - Toynbee Suite (209),0,29,0,0,29,29
Lushlife - Toynbee Suite (210),0,1,0,0,1,1
Matthew Entwistle - Dont You Ever (0),0,22,0,0,22,22
Matthew Entwistle - Dont You Ever (1),0,21,0,0,21,21
Matthew Entwistle - Dont You Ever (2),0,14,0,0,14,14
Matthew Entwistle - Dont You Ever (3),0,6,0,0,6,6
Matthew Entwistle - Dont You Ever (4),0,1,0,0,1,1
Matthew Entwistle - Dont You Ever (5),0,16,0,0,16,16
Matthew Entwistle - Dont You Ever (6),0,8,0,0,8,8
Matthew Entwistle - Dont You Ever (7),0,24,0,0,24,24
Matthew Entwistle - Dont You Ever (8),0,3,0,0,3,3
Matthew Entwistle - Dont You Ever (9),2,10,0,0,10,12
Matthew Entwistle - Dont You Ever (10),64,72,0,0,72,138
Matthew Entwistle - Dont You Ever (11),97,127,0,0,127,226
Matthew Entwistle - Dont You Ever (12),234,225,0,0,225,460
Matthew Entwistle - Dont You Ever (13),369,207,0,0,207,575
Matthew Entwistle - Dont You Ever (14),334,145,0,0,145,481
Matthew Entwistle - Dont You Ever (15),621,68,0,0,68,685
Matthew Entwistle - Dont You Ever (16),15,48,0,0,48,63
Matthew Entwistle - Dont You Ever (17),92,5,0,0,5,97
Matthew Entwistle - Dont You Ever (18),250,105,0,0,105,354
Matthew Entwistle - Dont You Ever (19),55,148,0,0,148,208
Matthew Entwistle - Dont You Ever (20),424,135,0,0,135,560
Matthew Entwistle - Dont You Ever (21),239,131,0,0,131,372
Matthew Entwistle - Dont You Ever (22),126,125,0,0,125,252
Matthew Entwistle - Dont You Ever (23),414,214,1,0,214,613
Matthew Entwistle - Dont You Ever (24),381,584,51,270,263,971
Matthew Entwistle - Dont You Ever (25),639,632,6,509,117,1277
Matthew Entwistle - Dont You Ever (26),342,644,2,506,136,997
Matthew Entwistle - Dont You Ever (27),442,730,9,624,98,1170
Matthew Entwistle - Dont You Ever (28),1577,658,14,477,166,2228
Matthew Entwistle - Dont You Ever (29),807,700,10,483,205,1512
Matthew Entwistle - Dont You Ever (30),200,778,14,628,138,977
Matthew Entwistle - Dont You Ever (31),591,573,6,446,126,1163
Matthew Entwistle - Dont You Ever (32),358,611,16,472,120,971
Matthew Entwistle - Dont You Ever (33),482,501,14,339,150,991
Matthew Entwistle - Dont You Ever (34),535,622,11,476,132,1157
Matthew Entwistle - Dont You Ever (35),576,553,7,433,113,1131
Matthew Entwistle - Dont You Ever (36),30,535,9,417,52,563
Matthew Entwistle - Dont You Ever (37),0,0,0,0,0,0
Meaxic - Take A Step (0),0,238,65,107,30,238
Meaxic - Take A Step (1),0,641,140,401,118,641
Meaxic - Take A Step (2),0,1125,435,581,111,1125
Meaxic - Take A Step (3),0,1133,324,642,118,1133
Meaxic - Take A Step (4),0,761,157,483,123,761
Meaxic - Take A Step (5),0,912,321,512,123,912
Meaxic - Take A Step (6),0,980,331,595,117,980
Meaxic - Take A Step (7),0,30,1,0,29,30
